"TIPO";"PERIODO";"CO_ANO";"CO_PAIS";"NO_PAIS";"CO_PAIS_ISOA3";"NO_PPE_PPI";"NO_FAT_AGREG";"VL_FOB";"KG_LIQUIDO"
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Medicamentos para medicina humana e veterinária";"Produtos Manufaturados";658747;16324
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Mel natural";"Produtos Básicos";67715;10381
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Microfones e alto-falantes e suas partes";"Produtos Manufaturados";105973;6337
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Milho em grãos";"Produtos Básicos";10063582;51876000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Minérios de alumínio e seus concentrados";"Produtos Básicos";7539696;288588000
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Minérios de chumbo e seus concentrados";"Produtos Básicos";3404953;4995272
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Minérios de cobre e seus concentrados";"Produtos Básicos";90514363;55868086
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Minérios de ferro e seus concentrados";"Produtos Básicos";2057373486;49819700752
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Minérios de manganês e seus concentrados";"Produtos Básicos";13563663;132250190
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Mistura de subst.odorif.p/ind.alimentar,de bebidas,etc.";"Produtos Manufaturados";824166;105279
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Molas e folhas de molas, de ferro ou aço";"Produtos Manufaturados";1373214;207959
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Moldes para metais,vidro,minerais, borracha ou plástico";"Produtos Manufaturados";484377;18430
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Motocicletas";"Produtos Manufaturados";34864;565
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Motores à pistão, outros";"Produtos Manufaturados";66055;4765
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Motores e turbinas para aviação";"Produtos Manufaturados";6000000;2687
"EXPORTAÇÕES";"Jan-Abr";"2015";"160";"China";"CHN";"Motores para veículos automóveis e suas partes";"Produtos Manufaturados";13090274;735018
